f0_GHz,alpha,in_continuum,RL,XL,X2,X3,ZLi_f0,ZLi_2f0,ZLi_3f0,err_Z1,dist_3f0,reachable,converged
2.4,-1.1535454107414238,False,14.02435321340008,-22.621846334600928,-1000000.0,-42.51573069721924,(36.90107756034009-49.568949008463406j),(10.62670917656682+50.728312982764855j),(0.42710499712001365+0.0631698780257194j),0.009811542268507487,0.43175121546403444,True,True
2.5,5.189924960259928,False,1.0,-37.24714321639362,-1000000.0,-132.84681326240758,(78.84433299577587+165.496275921738j),(88.02172151701846-228.2321400523906j),(0.37045247326333014-0.14308132112586j),48.900202882863205,0.3971237834756813,False,False
2.6,1.0856677242150543,False,3.55563070430222,-45.20424014337893,-1000000.0,-995.6118953450446,(36.9000559790062+46.66675993677894j),(3.401997050787446-47.74332384008123j),(0.6931349155283549+0.07423126804990585j),9.645926846992227e-05,0.6970984810489812,True,False
2.7,0.696366334851902,True,5.599916429340065,-49.87039930178146,-1000000.0,210.28499221725772,(36.96380749472578+29.935525204655008j),(1.0694869197287564-30.623405941447242j),(1.0815735551868335+0.10944007526371183j),0.0695121160379954,1.0870963551374888,True,False
2.8,0.535500346811847,True,7.016085298942766,-54.1142240716935,-1000000.0,95.53962231809695,(36.84896304096519+22.99864593603468j),(0.547581159821714-23.549163251397783j),(1.6399065502837842-0.06200569011330705j),0.06999925835163417,1.6410783647559581,True,True
2.9,0.4425608983263001,True,8.191620468913609,-58.38797529199755,-1000000.0,60.38595122744517,(36.89243036952009+19.070114197204724j),(0.35940977342119923-19.46205806479737j),(2.651202620379967-0.5160439497660068j),0.02302073152413945,2.7009584766152375,True,True
3.0,0.378692311209608,True,9.335550220201737,-62.90734778611249,-1000000.0,41.40035801677924,(36.90356428913652+16.30561243373024j),(0.27862328565208216-16.65337307775372j),(4.24823971070413-1.7729465161221731j),0.006475634918675876,4.603355296806153,True,True
3.1,0.3297297665635798,True,10.53197365447441,-67.76878516444683,-1000000.0,27.858225240170484,(36.90218125141081+14.192695140082032j),(0.24278520318769792-14.500196214399985j),(5.550581718847691-5.448006827288411j),0.0022296100989253327,7.777514757799391,True,True
3.2,0.2890676402439669,True,11.860220942613868,-73.05509926800549,-1000000.0,17.094455929468275,(36.900308716216415+12.443781789743179j),(0.2301813694532878-12.712038547368689j),(4.209525922271488-10.328639503518602j),0.0006930639567340024,11.153515252328328,True,True
3.3,0.2530658272483711,True,13.399229643074174,-78.85129750456618,-1000000.0,8.479309378440309,(36.90009669246905+10.894219320300673j),(0.23322811231742357-11.128822819074369j),(1.6699730652798805-12.45941880509997j),0.0005846997529329797,12.570836368342365,True,True
3.4,0.21937967137035877,True,15.237303028399067,-85.25214742459895,-1000000.0,8.031080341452736,(36.89998976925964+9.444203702072393j),(0.25005253387357435-9.647440428182897j),(1.0382561624856634-11.625025457294708j),0.0004800991910028783,11.67129781736759,True,True
3.5,0.18619538801385407,True,17.48775911927529,-92.3626311489621,-1000000.0,91.61135497963132,(36.89988157248383+8.015735018946188j),(0.28185001503815593-8.188128383297247j),(2.0614832747034004-8.259359922864473j),0.00040372478053120895,8.51273984257135,True,True
3.6,0.15179245099294403,True,20.304138547820727,-100.29538451755114,-1000000.0,51.10290535934155,(36.899615885739294+6.535025505642942j),(0.3331466148984327-6.6752248248657065j),(2.5397074472237247-2.1350231473348162j),0.0006812472443289684,3.317896586263519,True,True
3.7,0.11416494729122752,True,23.90044879465166,-109.15512413343008,-1000000.0,11.199233043624313,(36.90014025907046+4.915538360812113j),(0.4137865040660562-5.020517722079021j),(0.6997558087545962-0.1634372555607356j),0.0008359488398429337,0.7185888451618382,True,True
3.8,0.07044256434253937,True,28.57812360411818,-118.99399691611652,-1000000.0,-1.6368305206486355,(36.90032052514437+3.0326768304415848j),(0.5453909319877878-3.0977822095275114j),(0.3599338049604876-0.1509971976072405j),0.00035110452068153557,0.3903235806847626,True,True
