Z,E,f0,alpha
40.0,0.0,2.4,0.2587053006398329
40.0,0.0,2.425,0.252137793963036
40.0,0.0,2.45,0.24557312093278275
40.0,0.0,2.475,0.23900160273714952
40.0,0.0,2.5,0.23241329374414443
40.0,0.0,2.525,0.22579852128512473
40.0,0.0,2.55,0.21914674242229248
40.0,0.0,2.575,0.2124431029637425
40.0,0.0,2.6,0.20567592576048904
40.0,0.0,2.625,0.19883268262219755
40.0,0.0,2.65,0.19189907222634917
40.0,0.0,2.675,0.18485950673211127
40.0,0.0,2.7,0.17769699521140173
40.0,0.0,2.725,0.17039298253897256
40.0,0.0,2.75,0.16292707615495874
40.0,0.0,2.775,0.1552767116846128
40.0,0.0,2.8,0.1474167937553214
40.0,0.0,2.825,0.13931925552916627
40.0,0.0,2.85,0.13095252494972093
40.0,0.0,2.875,0.12228087570560635
40.0,0.0,2.9,0.11326363242181103
40.0,0.0,2.925,0.10385419013026605
40.0,0.0,2.95,0.0939987954281402
40.0,0.0,2.975,0.08363501945212738
40.0,0.0,3.0,0.07268982891473587
40.0,0.0,3.025,0.06107712805161335
40.0,0.0,3.05,0.04869459702534826
40.0,0.0,3.075,0.03541958442244047
40.0,0.0,3.1,0.02110371261291241
40.0,0.0,3.125,0.0055657087106940045
40.0,0.0,3.15,-0.01141824502590332
40.0,0.0,3.175,-0.030127680552233263
40.0,0.0,3.2,-0.05091608651548221
40.0,0.0,3.225,-0.07423658188849529
40.0,0.0,3.25,-0.10067865200075986
40.0,0.0,3.275,-0.13102160245765643
40.0,0.0,3.3,-0.1663135748583267
40.0,0.0,3.325,-0.20798977091804208
40.0,0.0,3.35,-0.25804972121515724
40.0,0.0,3.375,-0.3193165756391228
40.0,0.0,3.4,-0.3957766277082581
40.0,0.0,3.425,-0.4928234653714132
40.0,0.0,3.45,-0.6163150092252656
40.0,0.0,3.475,-0.7646664501824806
40.0,0.0,3.5,-0.8849545377695749
40.0,0.0,3.525,-0.6949853914448307
40.0,0.0,3.55,0.2886390214107949
40.0,0.0,3.575,1.1439035470067445
40.0,0.0,3.6,1.2331855144447939
40.0,0.0,3.625,1.0896594982627044
40.0,0.0,3.65,0.9386420033789346
40.0,0.0,3.675,0.8163099509020704
40.0,0.0,3.7,0.7207216653139651
40.0,0.0,3.725,0.6453661309681681
40.0,0.0,3.75,0.5847985422491051
40.0,0.0,3.775,0.535093050340812
40.0,0.0,3.8,0.49349256012298837
40.0,5.0,2.4,0.22888071012157504
40.0,5.0,2.425,0.2219294381743436
40.0,5.0,2.45,0.2149463153240045
40.0,5.0,2.475,0.207919353277045
40.0,5.0,2.5,0.2008359424933468
