Z,E,f0,alpha
70.0,40.0,2.4,-0.009135251644435046
70.0,40.0,2.425,-0.03231727414111487
70.0,40.0,2.45,-0.05822790732824769
70.0,40.0,2.475,-0.08748245108475647
70.0,40.0,2.5,-0.12090117482384682
70.0,40.0,2.525,-0.1595990581675209
70.0,40.0,2.55,-0.20512713596577975
70.0,40.0,2.575,-0.259703434708583
70.0,40.0,2.6,-0.32660423779729336
70.0,40.0,2.625,-0.4108599352498212
70.0,40.0,2.65,-0.5205559900159733
70.0,40.0,2.675,-0.6693966051970405
70.0,40.0,2.7,-0.8819481287713093
70.0,40.0,2.725,-1.2036067081562583
70.0,40.0,2.75,-1.701407889572607
70.0,40.0,2.775,-2.1221497672188194
70.0,40.0,2.8,0.5673412760290559
70.0,40.0,2.825,2.3537389076755004
70.0,40.0,2.85,1.9074827600283941
70.0,40.0,2.875,1.4933730986770788
70.0,40.0,2.9,1.2197671720113674
70.0,40.0,2.925,1.0339077584640244
70.0,40.0,2.95,0.9008757822268874
70.0,40.0,2.975,0.8011449955310925
70.0,40.0,3.0,0.7234901217595046
70.0,40.0,3.025,0.6611249213152627
70.0,40.0,3.05,0.6097449129200926
70.0,40.0,3.075,0.5665073845648887
70.0,40.0,3.1,0.5294787379841727
70.0,40.0,3.125,0.4973182670050557
70.0,40.0,3.15,0.4690525920452539
70.0,40.0,3.175,0.4438763940819985
70.0,40.0,3.2,0.4211035575334802
70.0,40.0,3.225,0.40024311519038674
70.0,40.0,3.25,0.38096484114548446
70.0,40.0,3.275,0.36301649623098475
70.0,40.0,3.3,0.3461864467707608
70.0,40.0,3.325,0.33029308607601915
70.0,40.0,3.35,0.3151799799079061
70.0,40.0,3.375,0.3007116170208291
70.0,40.0,3.4,0.28676941846476844
70.0,40.0,3.425,0.27324818568965364
70.0,40.0,3.45,0.2600530375217271
70.0,40.0,3.475,0.24709678299257196
70.0,40.0,3.5,0.23429763905362155
70.0,40.0,3.525,0.22157719633358516
70.0,40.0,3.55,0.20885854070160312
70.0,40.0,3.575,0.19606444371486728
70.0,40.0,3.6,0.18311553708905087
70.0,40.0,3.625,0.16992838356300818
70.0,40.0,3.65,0.1564133500267471
70.0,40.0,3.675,0.1424719261367551
70.0,40.0,3.7,0.12799484970761985
70.0,40.0,3.725,0.11285670076287481
70.0,40.0,3.75,0.09691322633158252
70.0,40.0,3.775,0.07999504068781191
70.0,40.0,3.8,0.06190075615822566
70.0,42.5,2.4,-0.05402481457917511
70.0,42.5,2.425,-0.0835380389639802
70.0,42.5,2.45,-0.11723788015077169
70.0,42.5,2.475,-0.1562483059470445
70.0,42.5,2.5,-0.2021345061517128
70.0,42.5,2.525,-0.2571372944038947
70.0,42.5,2.55,-0.3245727538611903
70.0,42.5,2.575,-0.4095488086216885
70.0,42.5,2.6,-0.5203119259579496
70.0,42.5,2.625,-0.6709476953584902
70.0,42.5,2.65,-0.8870839649185706
70.0,42.5,2.675,-1.217751342457393
70.0,42.5,2.7,-1.7460389165394608
70.0,42.5,2.725,-2.291028372322977
70.0,42.5,2.75,0.5572507028416978
70.0,42.5,2.775,2.5074550629802217
70.0,42.5,2.8,1.9760176621977987
70.0,42.5,2.825,1.5304237322087022
70.0,42.5,2.85,1.2441984353846391
70.0,42.5,2.875,1.0522269552150874
70.0,42.5,2.9,0.915781037129318
70.0,42.5,2.925,0.8139393661059215
70.0,42.5,2.95,0.7348806382897647
70.0,42.5,2.975,0.6715311967203448
70.0,42.5,3.0,0.6194336269706995
70.0,42.5,3.025,0.575655618628179
70.0,42.5,3.05,0.5382040545227896
70.0,42.5,3.075,0.505695497130349
70.0,42.5,3.1,0.47714217045670304
70.0,42.5,3.125,0.4517629914978501
70.0,42.5,3.15,0.4288764752397624
70.0,42.5,3.175,0.4079545758304288
70.0,42.5,3.2,0.3886414662454291
70.0,42.5,3.225,0.37067994759685424
70.0,42.5,3.25,0.3538595464485336
70.0,42.5,3.275,0.3379998341175993
70.0,42.5,3.3,0.32294490608408616
70.0,42.5,3.325,0.3085595247442194
70.0,42.5,3.35,0.29472546406177436
70.0,42.5,3.375,0.2813381464177177
70.0,42.5,3.4,0.2683036832985174
70.0,42.5,3.425,0.2555363158645171
70.0,42.5,3.45,0.24295619229728654
70.0,42.5,3.475,0.23048739743912736
70.0,42.5,3.5,0.21805599746378782
70.0,42.5,3.525,0.20558893967776903
70.0,42.5,3.55,0.19301137401868132
70.0,42.5,3.575,0.18024566647999657
70.0,42.5,3.6,0.16720920239956918
70.0,42.5,3.625,0.15381225157565684
70.0,42.5,3.65,0.13995543523879087
70.0,42.5,3.675,0.12552666619429634
70.0,42.5,3.7,0.11039736250383518
70.0,42.5,3.725,0.0944176665572933
70.0,42.5,3.75,0.07741030913355143
70.0,42.5,3.775,0.059162641793899066
70.0,42.5,3.8,0.03941622009658762
70.0,45.0,2.4,-0.112221407730582
70.0,45.0,2.425,-0.15137372469283208
70.0,45.0,2.45,-0.1973962255467988
70.0,45.0,2.475,-0.2525300019811869
70.0,45.0,2.5,-0.32009460485639774
70.0,45.0,2.525,-0.40520804564257423
70.0,45.0,2.55,-0.5161545108024533
70.0,45.0,2.575,-0.6671640441067515
70.0,45.0,2.6,-0.8844015268027557
70.0,45.0,2.625,-1.2192935367723952
70.0,45.0,2.65,-1.7687210016106545
70.0,45.0,2.675,-2.448257587132817
70.0,45.0,2.7,0.4123869585469988
70.0,45.0,2.725,2.669451892881151
70.0,45.0,2.75,2.0538959234130783
70.0,45.0,2.775,1.5729589304926328
70.0,45.0,2.8,1.2719973375853644
70.0,45.0,2.825,1.0727480035399442
70.0,45.0,2.85,0.9321995793181616
70.0,45.0,2.875,0.8278129653981471
70.0,45.0,2.9,0.7470613697962676
70.0,45.0,2.925,0.6825262029860517
70.0,45.0,2.95,0.6295651260999735
70.0,45.0,2.975,0.5851379188689888
