Z,E,f0,alpha
40.0,0.0,2.4,0.29663486708048226
40.0,0.0,2.425,0.2907287565567664
40.0,0.0,2.45,0.28489870640929527
40.0,0.0,2.475,0.2791389197719492
40.0,0.0,2.5,0.2734426924568342
40.0,0.0,2.525,0.267802624249886
40.0,0.0,2.55,0.26221134697368137
40.0,0.0,2.575,0.2566622214202028
40.0,0.0,2.6,0.2511495824519291
40.0,0.0,2.625,0.24566858951350595
40.0,0.0,2.65,0.24021473609615818
40.0,0.0,2.675,0.2347836807647181
40.0,0.0,2.7,0.22937090242303412
40.0,0.0,2.725,0.22397123430242147
40.0,0.0,2.75,0.21857970659813536
40.0,0.0,2.775,0.2131912341872757
40.0,0.0,2.8,0.20780052530546528
40.0,0.0,2.825,0.20240209955827912
40.0,0.0,2.85,0.19699028464515406
40.0,0.0,2.875,0.19155919928014134
40.0,0.0,2.9,0.18610272788134788
40.0,0.0,2.925,0.18061448872979788
40.0,0.0,2.95,0.17508779619838408
40.0,0.0,2.975,0.16951561719069883
40.0,0.0,3.0,0.16389052170378504
40.0,0.0,3.025,0.1582046273048277
40.0,0.0,3.05,0.15244953723169363
40.0,0.0,3.075,0.14661627175997582
40.0,0.0,3.1,0.14069519238519992
40.0,0.0,3.125,0.13467591810307197
40.0,0.0,3.15,0.12854723296761666
40.0,0.0,3.175,0.1222969836882212
40.0,0.0,3.2,0.11591196553512854
40.0,0.0,3.225,0.10937779423642383
40.0,0.0,3.25,0.10267876083526185
40.0,0.0,3.275,0.09579766565233076
40.0,0.0,3.3,0.08871562656460609
40.0,0.0,3.325,0.08141185575407466
40.0,0.0,3.35,0.07386339786338428
40.0,0.0,3.375,0.06604482105548444
40.0,0.0,3.4,0.05792785071850267
40.0,0.0,3.425,0.04948093335754298
40.0,0.0,3.45,0.04066871540880889
40.0,0.0,3.475,0.031451418091158284
40.0,0.0,3.5,0.021784084673524776
40.0,0.0,3.525,0.011615670014069912
40.0,0.0,3.55,0.0008879313349695601
40.0,0.0,3.575,-0.010465948138453732
40.0,0.0,3.6,-0.02252315451079777
40.0,0.0,3.625,-0.03537366243046718
40.0,0.0,3.65,-0.04912258296626953
40.0,0.0,3.675,-0.0638921085939187
40.0,0.0,3.7,-0.07982658376864166
40.0,0.0,3.725,-0.09709876067574658
40.0,0.0,3.75,-0.115916184342628
40.0,0.0,3.775,-0.13652979856948838
40.0,0.0,3.8,-0.15924533575557984
40.0,5.0,2.4,0.267726226994034
40.0,5.0,2.425,0.26164009285472156
40.0,5.0,2.45,0.2556027754097204
40.0,5.0,2.475,0.24960807614218153
40.0,5.0,2.5,0.2436503168748409
40.0,5.0,2.525,0.23772400526307888
40.0,5.0,2.55,0.23182361582851446
40.0,5.0,2.575,0.22594349155555665
40.0,5.0,2.6,0.22007786286745468
40.0,5.0,2.625,0.21422083986334428
40.0,5.0,2.65,0.20836630700406444
40.0,5.0,2.675,0.2025080055818949
40.0,5.0,2.7,0.19663944592372315
40.0,5.0,2.725,0.19075384774016688
40.0,5.0,2.75,0.18484432965963196
40.0,5.0,2.775,0.17890375504214845
40.0,5.0,2.8,0.17292468490978222
40.0,5.0,2.825,0.16689934687355862
40.0,5.0,2.85,0.16081959194199916
40.0,5.0,2.875,0.15467684278486676
40.0,5.0,2.9,0.14846203433659352
40.0,5.0,2.925,0.1421655463723477
40.0,5.0,2.95,0.13577712694756888
40.0,5.0,2.975,0.12928580548101615
40.0,5.0,3.0,0.12267979409254139
40.0,5.0,3.025,0.11594637563131878
40.0,5.0,3.05,0.1090717766214636
40.0,5.0,3.075,0.10204102307728947
40.0,5.0,3.1,0.0948377767715396
40.0,5.0,3.125,0.08744414901744342
40.0,5.0,3.15,0.07984048819477618
40.0,5.0,3.175,0.07200513643873992
40.0,5.0,3.2,0.06391414954652075
40.0,5.0,3.225,0.055540972503843704
40.0,5.0,3.25,0.04685606097965171
40.0,5.0,3.275,0.03782643656546749
40.0,5.0,3.3,0.02841516034276119
40.0,5.0,3.325,0.018580705375734516
40.0,5.0,3.35,0.008276203696247986
40.0,5.0,3.375,-0.002551463083775241
40.0,5.0,3.4,-0.013962768725688841
40.0,5.0,3.425,-0.02602689296450544
40.0,5.0,3.45,-0.03882338216162373
40.0,5.0,3.475,-0.05244420339863944
40.0,5.0,3.5,-0.06699630160695653
40.0,5.0,3.525,-0.08260481345854781
40.0,5.0,3.55,-0.09941720792399798
40.0,5.0,3.575,-0.11760895548623984
40.0,5.0,3.6,-0.13739143237102902
40.0,5.0,3.625,-0.15901911661774085
40.0,5.0,3.65,-0.1827995993322411
40.0,5.0,3.675,-0.20911150198640657
40.0,5.0,3.7,-0.23842711778984366
40.0,5.0,3.725,-0.2713415610605305
40.0,5.0,3.75,-0.3086141534761725
40.0,5.0,3.775,-0.351227694439772
40.0,5.0,3.8,-0.40047412309151004
40.0,10.0,2.4,0.23832776280940318
40.0,10.0,2.425,0.23192431003236286
40.0,10.0,2.45,0.2255464814079918
40.0,10.0,2.475,0.21918739672103427
40.0,10.0,2.5,0.2128400183161794
40.0,10.0,2.525,0.2064971423551886
40.0,10.0,2.55,0.20015138291694573
40.0,10.0,2.575,0.19379516231415714
40.0,10.0,2.6,0.18742073240160453
40.0,10.0,2.625,0.18102011319170824
40.0,10.0,2.65,0.1745849790551455
40.0,10.0,2.675,0.1681066874320152
40.0,10.0,2.7,0.16157621486423934
40.0,10.0,2.725,0.15498408883760284
40.0,10.0,2.75,0.1483203972858608
40.0,10.0,2.775,0.14157467672483678
40.0,10.0,2.8,0.13473582593218628
40.0,10.0,2.825,0.12779187745756265
40.0,10.0,2.85,0.12073037947370178
40.0,10.0,2.875,0.1135381250427913
40.0,10.0,2.9,0.10620019306620844
40.0,10.0,2.925,0.09870089852810184
40.0,10.0,2.95,0.09102318733668437
40.0,10.0,2.975,0.08314846625775545
40.0,10.0,3.0,0.0750563925821018
40.0,10.0,3.025,0.0667246238064118
40.0,10.0,3.05,0.05812852517191241
40.0,10.0,3.075,0.049240828562798745
40.0,10.0,3.1,0.04003123392891884
40.0,10.0,3.125,0.030465942054685117
40.0,10.0,3.15,0.020507104596628748
40.0,10.0,3.175,0.010112173432945333
40.0,10.0,3.2,-0.0007668734752956854
40.0,10.0,3.225,-0.012184459072071406
40.0,10.0,3.25,-0.024202525000250805
40.0,10.0,3.275,-0.03689188943533423
40.0,10.0,3.3,-0.05033390916672191
40.0,10.0,3.325,-0.06462253015986705
40.0,10.0,3.35,-0.07986683788436294
40.0,10.0,3.375,-0.09619425561971338
40.0,10.0,3.4,-0.11375458986478827
40.0,10.0,3.425,-0.1327251928455393
